NAT,20111230,11.70,12.03,11.67,11.23,801100
NAT,20111229,11.75,11.87,11.68,10.99,470900
NAT,20111228,11.85,11.88,11.64,10.98,461500
NAT,20111227,12.05,12.14,11.84,11.11,437200
NAT,20111223,12.10,12.17,11.97,11.26,366400
NAT,20111222,11.91,12.12,11.87,11.33,645400
NAT,20111221,11.78,11.86,11.69,11.06,463500
NAT,20111220,12.00,12.09,11.74,11.10,592800
NAT,20111219,12.20,12.28,11.66,10.95,524300
NAT,20111216,12.25,12.38,12.01,11.36,474200
NAT,20111215,12.09,12.26,11.96,11.31,381600
NAT,20111214,12.10,12.20,11.91,11.17,626600
NAT,20111213,12.66,12.88,12.13,11.42,459000
NAT,20111212,12.70,12.76,12.50,11.82,380600
NAT,20111209,12.78,12.93,12.57,12.05,450000
NAT,20111208,13.00,13.08,12.60,11.83,585200
NAT,20111207,13.13,13.26,12.98,12.34,365600
NAT,20111206,13.03,13.41,12.91,12.38,529000
NAT,20111205,12.81,13.10,12.60,11.94,1118800
NAT,20111202,12.08,12.19,11.86,11.19,436100
NAT,20111201,12.47,12.50,11.89,11.13,656900
NAT,20111130,12.18,12.62,12.18,11.73,518100
NAT,20111129,12.30,12.30,11.89,11.16,415900
NAT,20111128,12.44,12.50,12.12,11.49,434700
NAT,20111125,12.19,12.30,12.00,11.24,218200
NAT,20111123,12.52,12.56,12.10,11.46,432200
NAT,20111122,12.96,13.06,12.47,11.83,746600
NAT,20111121,13.80,13.84,13.24,12.49,513700
NAT,20111118,14.28,14.40,14.22,13.14,547400
NAT,20111117,14.30,14.53,13.89,13.01,685800
NAT,20111116,14.46,14.63,14.23,13.06,356600
NAT,20111115,14.29,14.58,14.19,13.28,352500
NAT,20111114,14.48,14.48,14.00,13.08,395900
NAT,20111111,14.22,14.50,14.19,13.28,543000
NAT,20111110,14.24,14.37,14.00,12.90,596400
NAT,20111109,13.75,13.89,13.62,12.64,629000
NAT,20111108,14.00,14.05,13.56,12.77,758800
NAT,20111107,14.12,14.35,13.51,12.55,680500
NAT,20111104,14.20,14.33,14.00,13.01,258700
NAT,20111103,14.44,14.54,14.01,13.13,309200
NAT,20111102,14.25,14.42,13.99,13.09,210100
NAT,20111101,13.91,14.32,13.40,12.86,572400
NAT,20111031,15.14,15.24,14.40,13.22,527500
NAT,20111028,15.20,15.53,15.06,13.99,324500
NAT,20111027,14.86,15.95,14.83,14.04,1022300
NAT,20111026,14.42,14.50,13.97,13.15,442000
NAT,20111025,14.50,14.50,14.00,13.05,527700
NAT,20111024,14.53,14.95,14.35,13.26,607100
NAT,20111021,14.16,14.38,14.04,13.18,447700
NAT,20111020,14.30,14.30,13.64,12.77,376100
NAT,20111019,14.57,14.57,14.08,13.00,258900
NAT,20111018,14.30,14.63,14.07,13.29,300200
NAT,20111017,14.74,14.81,14.20,13.06,634800
NAT,20111014,14.65,14.89,14.57,13.59,259600
NAT,20111013,14.32,14.51,13.96,13.29,315200
NAT,20111012,14.25,14.58,14.20,13.20,507400
NAT,20111011,13.38,14.04,13.28,12.84,641700
NAT,20111010,12.77,13.45,12.75,12.32,457800
NAT,20111007,12.95,13.02,12.44,11.52,607900
NAT,20111006,13.00,13.12,12.71,11.83,771000
NAT,20111005,13.00,13.45,12.72,11.91,579800
NAT,20111004,12.13,13.12,11.58,11.96,953700
NAT,20111003,13.98,14.04,12.25,11.27,678700
NAT,20110930,14.70,14.85,14.07,12.93,380400
NAT,20110929,15.23,15.25,14.50,13.69,328600
NAT,20110928,15.27,15.41,14.93,13.69,318800
NAT,20110927,15.71,15.74,15.24,14.10,458100
NAT,20110926,15.73,15.74,15.25,14.16,277900
NAT,20110923,15.37,16.04,15.30,14.39,413100
NAT,20110922,15.50,16.15,15.20,14.09,666500
NAT,20110921,16.30,16.46,15.78,14.49,440300
NAT,20110920,16.57,16.94,16.30,14.94,213900
NAT,20110919,16.76,16.86,16.50,15.20,211200
NAT,20110916,17.14,17.30,16.95,15.61,234000
NAT,20110915,16.85,17.27,16.85,15.77,308400
NAT,20110914,16.90,16.97,16.57,15.53,464700
NAT,20110913,16.84,16.94,16.65,15.41,390300
NAT,20110912,16.53,16.98,16.44,15.43,243500
NAT,20110909,16.69,16.99,16.60,15.35,314200
NAT,20110908,17.09,17.25,16.75,15.36,228500
NAT,20110907,17.41,17.53,17.12,15.78,245500
NAT,20110906,16.97,17.25,16.78,15.76,335800
NAT,20110902,17.45,17.69,17.24,15.82,259900
NAT,20110901,18.27,18.92,17.80,16.35,469400
NAT,20110831,18.34,18.45,17.85,16.46,330900
NAT,20110830,17.90,18.45,17.90,16.77,339400
NAT,20110829,17.50,17.99,17.50,16.48,309600
NAT,20110826,17.01,17.50,16.93,15.89,236500
NAT,20110825,17.49,17.70,16.92,15.70,280700
NAT,20110824,17.40,17.90,17.05,15.96,265000
NAT,20110823,17.00,17.49,16.70,16.01,383700
NAT,20110822,17.05,17.34,16.61,15.48,296500
NAT,20110819,16.75,17.50,16.70,15.31,294300
NAT,20110818,17.56,17.85,16.70,15.56,488200
NAT,20110817,18.30,18.40,17.84,16.50,299400
NAT,20110816,18.65,18.77,18.28,16.65,292500
NAT,20110815,18.28,18.86,18.21,17.00,236900
NAT,20110812,18.66,18.70,18.10,16.39,240800
NAT,20110811,18.58,18.88,18.22,16.62,494300
NAT,20110810,18.28,19.11,18.02,16.62,838200
NAT,20110809,18.41,19.23,17.72,17.34,1383100
NAT,20110808,16.04,17.31,16.02,14.91,1329800
NAT,20110805,18.33,18.82,17.28,16.40,762400
NAT,20110804,18.93,19.05,18.25,16.49,795100
NAT,20110803,19.77,19.85,18.79,17.42,496600
NAT,20110802,20.80,20.84,19.78,17.87,399900
NAT,20110801,20.69,20.89,20.44,18.66,324000
NAT,20110729,19.74,20.53,19.58,18.47,524900
NAT,20110728,20.24,20.47,19.80,18.02,669200
NAT,20110727,20.54,20.65,20.18,18.32,497900
NAT,20110726,20.67,20.95,20.56,18.62,367900
NAT,20110725,21.76,21.82,20.51,18.66,927400
NAT,20110722,22.12,22.17,21.96,20.00,195800
NAT,20110721,21.89,22.14,21.86,19.93,257200
NAT,20110720,21.76,21.96,21.75,19.72,242100
NAT,20110719,21.63,21.98,21.63,19.68,279500
NAT,20110718,22.17,22.25,21.51,19.47,562500
